tram_id,source_station,destination_station,start_time,end_time,Duration,distance,Day
141,Broombridge,Sandyford,17:56,18:43,00:47,20,MON-FRI
142,Broombridge,Sandyford,18:03,18:50,00:47,20,MON-FRI
143,Parnell,Bride's Glen,18:04,18:57,00:53,20,MON-FRI
144,Broombridge,Sandyford,18:11,18:57,00:46,20,MON-FRI
145,Parnell,Bride's Glen,18:12,19:04,00:52,20,MON-FRI
146,Broombridge,Sandyford,18:19,19:04,00:45,20,MON-FRI
147,Parnell,Bride's Glen,18:20,19:11,00:51,20,MON-FRI
148,Broombridge,Sandyford,18:27,19:12,00:45,20,MON-FRI
149,Parnell,Bride's Glen,18:28,19:19,00:51,20,MON-FRI
150,Broombridge,Sandyford,18:35,19:20,00:45,20,MON-FRI
151,Parnell,Bride's Glen,18:36,19:26,00:50,20,MON-FRI
152,Broombridge,Sandyford,18:43,19:28,00:45,20,MON-FRI
153,Parnell,Bride's Glen,18:44,19:34,00:50,20,MON-FRI
154,Parnell,Bride's Glen,18:52,19:42,00:50,20,MON-FRI
155,Broombridge,Sandyford,18:53,19:38,00:45,20,MON-FRI
156,Parnell,Bride's Glen,19:00,19:50,00:50,20,MON-FRI
157,Broombridge,Sandyford,19:05,19:50,00:45,20,MON-FRI
158,Parnell,Bride's Glen,19:12,20:02,00:50,20,MON-FRI
159,Broombridge,Sandyford,19:17,20:02,00:45,20,MON-FRI
160,Parnell,Bride's Glen,19:24,20:14,00:50,20,MON-FRI
161,Broombridge,Sandyford,19:29,20:14,00:45,20,MON-FRI
162,Parnell,Bride's Glen,19:36,20:26,00:50,20,MON-FRI
163,Broombridge,Sandyford,19:41,20:26,00:45,20,MON-FRI
164,Parnell,Bride's Glen,19:48,20:38,00:50,20,MON-FRI
165,Broombridge,Sandyford,19:53,20:38,00:45,20,MON-FRI
166,Parnell,Bride's Glen,20:00,20:50,00:50,20,MON-FRI
167,Broombridge,Sandyford,20:05,20:50,00:45,20,MON-FRI
168,Parnell,Bride's Glen,20:12,21:02,00:50,20,MON-FRI
169,Broombridge,Sandyford,20:17,21:02,00:45,20,MON-FRI
170,Parnell,Bride's Glen,20:24,21:14,00:50,20,MON-FRI
171,Broombridge,Sandyford,20:29,22:14,01:45,20,MON-FRI
172,Parnell,Bride's Glen,20:36,21:26,00:50,20,MON-FRI
173,Broombridge,Sandyford,20:41,22:26,01:45,20,MON-FRI
174,Parnell,Bride's Glen,20:48,21:38,00:50,20,MON-FRI
175,Broombridge,Sandyford,20:53,21:38,00:45,20,MON-FRI
176,Parnell,Bride's Glen,21:00,21:50,00:50,20,MON-FRI
177,Broombridge,Sandyford,21:05,21:50,00:45,20,MON-FRI
178,Parnell,Bride's Glen,21:12,22:02,00:50,20,MON-FRI
179,Broombridge,Sandyford,21:17,22:20,01:03,20,MON-FRI
180,Parnell,Bride's Glen,21:24,21:56,00:32,20,MON-FRI
181,Broombridge,Sandyford,21:32,22:35,01:03,20,MON-FRI
182,Parnell,Bride's Glen,21:36,22:08,00:32,20,MON-FRI
183,Broombridge,Bride's Glen,21:47,22:50,01:03,20,MON-FRI
184,Broombridge,Bride's Glen,22:02,23:05,01:03,20,MON-FRI
185,Broombridge,Bride's Glen,22:17,23:20,01:03,20,MON-FRI
186,Broombridge,Bride's Glen,22:32,23:35,01:03,20,MON-FRI
187,Broombridge,Bride's Glen,22:47,23:50,01:03,20,MON-FRI
188,Broombridge,Bride's Glen,23:02,00:05,01:03,20,MON-FRI
189,Broombridge,Bride's Glen,23:17,00:20,01:03,20,MON-FRI
190,Broombridge,Bride's Glen,23:32,00:35,01:03,20,MON-FRI
191,Broombridge,Bride's Glen,23:47,00:50,01:03,20,MON-FRI
192,Broombridge,Bride's Glen,00:02,01:05,01:03,20,MON-FRI
193,Broombridge,Broombridge,00:17,01:20,01:03,20,MON-FRI
